adduser/addgroup	, Linux
Get-EventLog		, powershell 
Get-Process		, powershell 	
Get-Service		, powershell 
Get-Credential		, powershell 
Get-AppxPackage		, powershell 
Get-Acl			, powershell 
Get-Item			, powershell 
Get-HotFix		, powershell 
Get-ItemProperty		, powershell 
Get-Member		, powershell 	
Get-CimInstance		, powershell 
Get-NetAdapter		, powershell 
Get-ExecutionPolicy		, powershell 
Get-FileHash		, powershell 
Get-Disk			, powershell 
Get-Module		, powershell 
Get-ScheduledTask		, powershell 
Get-Printer		, powershell 
Get-WindowsUpdateLog	, powershell 
Get-Certificate		, powershell 
Get-Job			, powershell 
Get-PhysicalDisk		, powershell 
Get-Package		, powershell 
Get-SmbShare		, powershell 
Get-Variable		, powershell 
Get-Random		, powershell 
Get-PSDrive		, powershell 
Get-NetIPAddress		, powershell 
Get-SmbConnection		, powershell 
Get-Event			, powershell 
Get-AppxProvisionedPackage	, powershell 
Get-TlsCipherSuite		, powershell 
Get-InstalledModule		, powershell 
Get-StorageJob		, powershell 
Get-AppvClientPackage	, powershell 
Get-AuthenticodeSignature	, powershell 
Get-BitsTransfer		, powershell 
Get-InitiatorPort		, powershell 
Get-ComputerInfo		, powershell 
Get-Clipboard		, powershell 
Get-BitLockerVolume	, powershell 
Get-WindowsCapability	, powershell 
Get-DnsClientServerAddress	, powershell 
Get-Alias			, powershell 
Get-Culture		, powershell 
Get-Host			, powershell 
Get-LocalGroupMember	, powershell 
Get-LocalUser		, powershell 
Get-VpnConnection		, powershell 
Get-NetIPConfiguration	, powershell 
Get-NetIPInterface		, powershell 
Get-PfxCertificate		, powershell 
Get-Partition		, powershell 
Get-ScheduledJob		, powershell 
Get-PnpDevice		, powershell 
Get-Tpm			, powershell 
Get-PSRepository		, powershell 	
Get-ScheduledTaskInfo	, powershell 
Get-NetAdapterVmq		, powershell 
Get-SmbSession		, powershell 
Get-SmbShareAccess		, powershell 
Get-StartApps		, powershell 
Get-VirtualDisk		, powershell 
Grant-SmbShareAccess	, powershell 
Group-Object		, powershell 
Invoke-TroubleshootingPack	, powershell 
Invoke-WebRequest		, powershell 
Invoke-Command		, powershell 
Import-Module		, powershell 
Import-Csv		, powershell 	
Invoke-RestMethod		, powershell 
Install-Module		, powershell 
Install-Package		, powershell 
Invoke-Expression		, powershell 
Import-StartLayout		, powershell 
Import-PSSession		, powershell 
Import-Certificate		, powershell 
Invoke-WmiMethod		, powershell 
Invoke-CimMethod		, powershell 
Install-PackageProvider	, powershell 
Invoke-Pester		, powershell 
Initialize-Disk		, powershell 
Join-Path			, powershell 
Measure-Command		, powershell 
Measure-Object		, powershell 
Move-Item		, powershell 
Measure-Object		, powershell 
New-Event		, powershell 
New-AppLockerPolicy	, powershell 
New-ItemProperty		, powershell 
New-Object		, powershell 
New-WebServiceProxy	, powershell 
New-WSManInstance		, powershell 
New-WSManSessionOption	, powershell 
New-Item			, powershell 
New-PSSession		, powershell 	
New-PSDrive		, powershell 
New-SelfSignedCertificate	, powershell 
New-SmbShare		, powershell 
New-NetFirewallRule	, powershell 
New-NetIPAddress		, powershell 
New-TimeSpan		, powershell 
New-ScheduledTaskTrigger	, powershell 
New-EventLog		, powershell 
New-Guid			, powershell 
New-ScheduledTaskPrincipal	, powershell 
New-StoragePool		, powershell 
New-SmbMapping		, powershell 
New-Volume		, powershell 
New-NetRoute		, powershell 
New-NetNat		, powershell 
New-ScheduledTaskAction	, powershell 
New-ScheduledTaskSettingsSet	, powershell 
New-ScheduledTask		, powershell 
New-Service		, powershell 
New-PSSessionOption	, powershell 
New-Variable		, powershell 
Out-String		, powershell 
Out-GridView		, powershell 
Out-File			, powershell 
Out-Null			, powershell 
Optimize-Volume		, powershell 
Out-Printer		, powershell 
Out-Default		, powershell 
Receive-Job		, powershell 
Read-Host			, powershell 
Remove-Event		, powershell 
Remove-Item		, powershell 
Remove-PhysicalDisk	, powershell 
Remove-AppxPackage	, powershell 
Remove-NetIPAddress	, powershell 
Remove-Printer		, powershell 
Remove-AppxProvisionedPackage	, powershell 
Remove-WmiObject		, powershell 
Remove-ItemProperty	, powershell 
Remove-Computer		, powershell 
Remove-Module		, powershell 
Rename-Item		, powershell 
Rename-Computer		, powershell 
Restart-Computer		, powershell 
Restart-Service		, powershell 
Reset-ComputerMachinePassword	, powershell 
Repair-Volume		, powershell 
Repair-WindowsImage	, powershell 
Resolve-DnsName		, powershell 
Resize-Partition		, powershell 
Resolve-Path		, powershell 
Receive-Job		, powershell 
Register-PSRepository	, powershell 
Register-EngineEvent	, powershell 
Register-ObjectEvent	, powershell 
Register-ScheduledTask	, powershell 
Select-Object		, powershell 
Select-String		, powershell 
Set-Alias			, powershell 
Set-StrictMode		, powershell 
Set-AuthenticodeSignature	, powershell 
Set-ExecutionPolicy		, powershell 
Set-PSDebug		, powershell 
Set-Service		, powershell 
Set-Acl			, powershell 
Set-Variable		, powershell 
Set-Content		, powershell 
Set-Item			, powershell 
Set-ItemProperty		, powershell 
Set-NetConnectionProfile	, powershell 
Set-Location		, powershell 
Set-TimeZone		, powershell 
Set-Clipboard		, powershell 
Set-WSManQuickConfig	, powershell 
Set-MpPreference		, powershell 
Set-NetFirewallProfile	, powershell 
Set-PSRepository		, powershell 
Set-DscLocalConfigurationManager	, powershell 
Set-NetAdapterVmq		, powershell 
Set-Date			, powershell 
Set-PhysicalDisk		, powershell 
Set-Printer		, powershell 
Set-ScheduledTask		, powershell 
Set-SmbClientConfiguration	, powershell 
Set-LocalUser		, powershell 
Set-Partition		, powershell 
Set-Culture		, powershell 
Set-Disk			, powershell 
Set-WinUserLanguageList	, powershell 
Set-WinSystemLocale	, powershell 
Set-PSSessionConfiguration	, powershell 
Set-SmbShare		, powershell 
Set-VpnConnection		, powershell 
Set-PSDebug		, powershell 
Start-Sleep		, powershell 
Start-Process		, powershell 
Start-Transcript		, powershell 
Start-Service		, powershell 
Start-BitsTransfer		, powershell 
Start-ScheduledTask		, powershell 
Send-MailMessage		, powershell 
Start-Job			, powershell 
Sort-Object		, powershell 
Split-Path			, powershell 
Save-Module		, powershell 
Stop-Service		, powershell 
Stop-Process		, powershell 
Stop-Transcript		, powershell 
Select-Xml		, powershell 
Suspend-BitLocker		, powershell 
Test-Path			, powershell 
Tee-Object			, powershell 
Test-AppLockerPolicy	, powershell 
Test-ComputerSecureChannel	, powershell 
Test-Path			, powershell 
Trace-Command		, powershell 
Test-Connection		, powershell 
Test-NetConnection		, powershell 
Test-WSMan		, powershell 
Unblock-File		, powershell 
Update-Help		, powershell 
Uninstall-Module		, powershell 
Update-Script		, powershell 
Unregister-ScheduledTask	, powershell 
Write-Debug		, powershell 
Write-Host		, powershell 
Write-Output		, powershell 
Where-Object		, powershell 
Wait-Job			, powershell 
Write-Progress		, powershell 
Where-Object		, powershell 
Write-Error		, powershell 
Write-EventLog		, powershell 
Wait-Process		, powershell 
Write-Information		, powershell 
