C (ANSI (C89)) (32 keywords)

extends	, Dart
false	, Dart
final	, Dart
finally	, Dart
for	, Dart
if	, Dart
in	, Dart
is	, Dart
new	, Dart
null	, Dart
rethrow	, Dart
return	, Dart
super	, Dart
switch	, Dart
this	, Dart
throw	, Dart
true	, Dart
try	, Dart
var	, Dart
void	, Dart
while	, Dart
with	, Dart





Elixir (1.10) (15 keywords)

true	, Elixir
false	, Elixir
nil	, Elixir
when	, Elixir
and	, Elixir
or	, Elixir
not	, Elixir
in	, Elixir
fn	, Elixir
do	, Elixir
end	, Elixir
catch	, Elixir
rescue	, Elixir
after	, Elixir
else	, Elixir





Erlang (23) (27 keywords)

after	, Erlang
and	, Erlang
andalso	, Erlang
band	, Erlang
begin	, Erlang
bnot	, Erlang
bor	, Erlang
bsl	, Erlang
bsr	, Erlang
bxor	, Erlang
case	, Erlang
catch	, Erlang
cond	, Erlang
div	, Erlang
end	, Erlang
fun	, Erlang
if	, Erlang
let	, Erlang
not	, Erlang
of	, Erlang
or	, Erlang
orelse	, Erlang
receive	, Erlang
rem	, Erlang
try	, Erlang
when	, Erlang
xor	, Erlang





Fortran (Fortran 2008) (103 keywords)

abstract	, Fortran
allocatable	, Fortran
allocate	, Fortran
assign	, Fortran
associate	, Fortran
asynchronous	, Fortran
backspace	, Fortran
bind	, Fortran
block	, Fortran
block data	, Fortran
call	, Fortran
case	, Fortran
class	, Fortran
close	, Fortran
codimension	, Fortran
common	, Fortran
contains	, Fortran
contiguous	, Fortran
continue	, Fortran
critical	, Fortran
cycle	, Fortran
data	, Fortran
deallocate	, Fortran
deferred	, Fortran
dimension	, Fortran
do	, Fortran
do concurrent	, Fortran
elemental	, Fortran
else	, Fortran
else if	, Fortran
elsewhere	, Fortran
end	, Fortran
endfile	, Fortran
endif	, Fortran
entry	, Fortran
enum	, Fortran
enumerator, Fortran
equivalence, Fortran
error stop	, Fortran
exit	, Fortran
extends	, Fortran
external	, Fortran
final	, Fortran
flush	, Fortran
forall	, Fortran
format	, Fortran
function	, Fortran
generic	, Fortran
goto	, Fortran
if	, Fortran
implicit	, Fortran
import	, Fortran
include	, Fortran
inquire	, Fortran
intent	, Fortran
interface	, Fortran
intrinsic	, Fortran
lock	, Fortran
module	, Fortran
namelist	, Fortran
non_overridable	, Fortran
nopass	, Fortran
nullify	, Fortran
only	, Fortran
open	, Fortran
operator	, Fortran
optional	, Fortran
parameter	, Fortran
pass	, Fortran
pause	, Fortran
pointer	, Fortran
print	, Fortran
private	, Fortran
procedure	, Fortran
program	, Fortran
protected	, Fortran
public	, Fortran
pure	, Fortran
read	, Fortran
recursive	, Fortran
result	, Fortran
return	, Fortran
rewind	, Fortran
rewrite	, Fortran
save	, Fortran
select	, Fortran
sequence	, Fortran
stop	, Fortran
submodule	, Fortran
subroutine	, Fortran
sync all	, Fortran
sync images, Fortran
sync memory	, Fortran
target	, Fortran
then	, Fortran
unlock	, Fortran
use	, Fortran
value	, Fortran
volatile	, Fortran
wait	, Fortran
where	, Fortran
while	, Fortran
write	, Fortran





Go (1.18) (25 keywords)

break	, Go
case	, Go
chan	, Go
const	, Go
continue	, Go
default	, Go
defer	, Go
else	, Go
fallthrough, Go
for	, Go
func	, Go
go	, Go
goto	, Go
if	, Go
import	, Go
interface	, Go
map	, Go
package	, Go
range	, Go
return	, Go
select	, Go
struct	, Go
switch	, Go
type	, Go
var	, Go





Java (SE 11 LTS) (51 keywords)

if	, Java(SE 11 LTS)
goto	, Java(SE 11 LTS)
implements, Java(SE 11 LTS)
import	, Java(SE 11 LTS)
instanceof	, Java(SE 11 LTS)
int	, Java(SE 11 LTS)
interface, Java(SE 11 LTS)
long	, Java(SE 11 LTS)
native	, Java(SE 11 LTS)
new	, Java(SE 11 LTS)
package, Java(SE 11 LTS)
private	, Java(SE 11 LTS)
protected	, Java(SE 11 LTS)
public	, Java(SE 11 LTS)
return	, Java(SE 11 LTS)
short	, Java(SE 11 LTS)
static	, Java(SE 11 LTS)
strictfp	, Java(SE 11 LTS)
super	, Java(SE 11 LTS)
switch	, Java(SE 11 LTS)
synchronized	, Java(SE 11 LTS)
this	, Java(SE 11 LTS)
throw	, Java(SE 11 LTS)
throws	, Java(SE 11 LTS)
transient	, Java(SE 11 LTS)
try	, Java(SE 11 LTS)
void	, Java(SE 11 LTS)
volatile	, Java(SE 11 LTS)
while	, Java(SE 11 LTS)
_	, Java(SE 11 LTS)





Java (SE 17 LTS) (67 keywords)

abstract	, Java(SE 17 LTS)
assert	, Java(SE 17 LTS)
boolean	, Java(SE 17 LTS)
break	, Java(SE 17 LTS)
byte	, Java(SE 17 LTS)
case	, Java(SE 17 LTS)
catch	, Java(SE 17 LTS)
char	, Java(SE 17 LTS)
class	, Java(SE 17 LTS)
const	, Java(SE 17 LTS)
continue	, Java(SE 17 LTS)
default	, Java(SE 17 LTS)
do	, Java(SE 17 LTS)
double	, Java(SE 17 LTS)
else	, Java(SE 17 LTS)
enum	, Java(SE 17 LTS)
extends	, Java(SE 17 LTS)
final	, Java(SE 17 LTS)
finally	, Java(SE 17 LTS)
float	, Java(SE 17 LTS)
for	, Java(SE 17 LTS)
if	, Java(SE 17 LTS)
goto	, Java(SE 17 LTS)
implements, Java(SE 17 LTS)
import	, Java(SE 17 LTS)
instanceof	, Java(SE 17 LTS)
int	, Java(SE 17 LTS)
interface	, Java(SE 17 LTS)
long	, Java(SE 17 LTS)
native	, Java(SE 17 LTS)
new	, Java(SE 17 LTS)
package	, Java(SE 17 LTS)
private	, Java(SE 17 LTS)
protected	, Java(SE 17 LTS)
public	, Java(SE 17 LTS)
return	, Java(SE 17 LTS)
short	, Java(SE 17 LTS)
static	, Java(SE 17 LTS)
strictfp	, Java(SE 17 LTS)
super	, Java(SE 17 LTS)
switch	, Java(SE 17 LTS)
synchronized	, Java(SE 17 LTS)
this	, Java(SE 17 LTS)
throw	, Java(SE 17 LTS)
throws	, Java(SE 17 LTS)
transient	, Java(SE 17 LTS)
try	, Java(SE 17 LTS)
void	, Java(SE 17 LTS)
volatile	, Java(SE 17 LTS)
while	, Java(SE 17 LTS)
_	, Java(SE 17 LTS)
exports	, Java(SE 17 LTS)
module	, Java(SE 17 LTS)
non-sealed, Java(SE 17 LTS)
open	, Java(SE 17 LTS)
opens	, Java(SE 17 LTS)
permits	, Java(SE 17 LTS)
provides	, Java(SE 17 LTS)
record	, Java(SE 17 LTS)
requires	, Java(SE 17 LTS)
sealed	, Java(SE 17 LTS)
to	, Java(SE 17 LTS)
transitive	, Java(SE 17 LTS)
uses	, Java(SE 17 LTS)
var	, Java(SE 17 LTS)
with	, Java(SE 17 LTS)
yield	, Java(SE 17 LTS)





JavaScript (1st edition) (35 keywords)

break	, JavaScript-1st edition
continue	, JavaScript-1st edition
delete	, JavaScript-1st edition
else	, JavaScript-1st edition
for	, JavaScript-1st edition
function	, JavaScript-1st edition
if	, JavaScript-1st edition
in	, JavaScript-1st edition
new	, JavaScript-1st edition
return	, JavaScript-1st edition
this	, JavaScript-1st edition
typeof	, JavaScript-1st edition
var	, JavaScript-1st edition
void	, JavaScript-1st edition
while	, JavaScript-1st edition
with	, JavaScript-1st edition
case	, JavaScript-1st edition
catch	, JavaScript-1st edition
class	, JavaScript-1st edition
const	, JavaScript-1st edition
debugger	, JavaScript-1st edition
default	, JavaScript-1st edition
do	, JavaScript-1st edition
enum	, JavaScript-1st edition
export	, JavaScript-1st edition
extends	, JavaScript-1st edition
finally	, JavaScript-1st edition
import	, JavaScript-1st edition
super	, JavaScript-1st edition
switch	, JavaScript-1st edition
throw	, JavaScript-1st edition
try	, JavaScript-1st edition
null	, JavaScript-1st edition
true	, JavaScript-1st edition
false	, JavaScript-1st edition





JavaScript (2nd edition) (59 keywords)

break	, JavaScript-2nd edition
continue	, JavaScript-2nd edition
delete	, JavaScript-2nd edition
else, JavaScript-2nd edition
for	, JavaScript-2nd edition
function	, JavaScript-2nd edition
if	, JavaScript-2nd edition
in, JavaScript-2nd edition
new	, JavaScript-2nd edition
return	, JavaScript-2nd edition
this	, JavaScript-2nd edition
typeof, JavaScript-2nd edition
var	, JavaScript-2nd edition
void	, JavaScript-2nd edition
while	, JavaScript-2nd edition
with, JavaScript-2nd edition
abstract	, JavaScript-2nd edition
boolean	, JavaScript-2nd edition
byte	, JavaScript-2nd edition
case, JavaScript-2nd edition
catch	, JavaScript-2nd edition
char	, JavaScript-2nd edition
class	, JavaScript-2nd edition
const, JavaScript-2nd edition
debugger	, JavaScript-2nd edition
default	, JavaScript-2nd edition
do	, JavaScript-2nd edition
double, JavaScript-2nd edition
enum	, JavaScript-2nd edition
export	, JavaScript-2nd edition
extends	, JavaScript-2nd edition
final, JavaScript-2nd edition
finally	, JavaScript-2nd edition
float	, JavaScript-2nd edition
goto	, JavaScript-2nd edition
implements, JavaScript-2nd edition
import	, JavaScript-2nd edition
instanceof	, JavaScript-2nd edition
int	, JavaScript-2nd edition
interface, JavaScript-2nd edition
long	, JavaScript-2nd edition
native	, JavaScript-2nd edition
package	, JavaScript-2nd edition
private, JavaScript-2nd edition
protected	, JavaScript-2nd edition
public	, JavaScript-2nd edition
short	, JavaScript-2nd edition
static, JavaScript-2nd edition
super	, JavaScript-2nd edition
switch	, JavaScript-2nd edition
synchronized	, JavaScript-2nd edition
throw, JavaScript-2nd edition
throws	, JavaScript-2nd edition
transient	, JavaScript-2nd edition
try	, JavaScript-2nd edition
volatile, JavaScript-2nd edition
null	, JavaScript-2nd edition
true	, JavaScript-2nd edition
false, JavaScript-2nd edition




JavaScript (3rd edition) (59 keywords)

break	, JavaScript-3rd edition
case	, JavaScript-3rd edition
catch	, JavaScript-3rd edition
continue, JavaScript-3rd edition
default	, JavaScript-3rd edition
delete	, JavaScript-3rd edition
do	, JavaScript-3rd edition
else, JavaScript-3rd edition
finally	, JavaScript-3rd edition
for	, JavaScript-3rd edition
function	, JavaScript-3rd edition
if, JavaScript-3rd edition
in	, JavaScript-3rd edition
instanceof	, JavaScript-3rd edition
new	, JavaScript-3rd edition
return, JavaScript-3rd edition
switch	, JavaScript-3rd edition
this	, JavaScript-3rd edition
throw	, JavaScript-3rd edition
try, JavaScript-3rd edition
typeof	, JavaScript-3rd edition
var	, JavaScript-3rd edition
void	, JavaScript-3rd edition
while, JavaScript-3rd edition
with	, JavaScript-3rd edition
abstract	, JavaScript-3rd edition
boolean	, JavaScript-3rd edition
byte, JavaScript-3rd edition
char	, JavaScript-3rd edition
class	, JavaScript-3rd edition
const	, JavaScript-3rd edition
debugger, JavaScript-3rd edition
double	, JavaScript-3rd edition
enum	, JavaScript-3rd edition
export	, JavaScript-3rd edition
extends, JavaScript-3rd edition
final	, JavaScript-3rd edition
float	, JavaScript-3rd edition
goto	, JavaScript-3rd edition
implements, JavaScript-3rd edition
import	, JavaScript-3rd edition
int	, JavaScript-3rd edition
interface	, JavaScript-3rd edition
long, JavaScript-3rd edition
native	, JavaScript-3rd edition
package	, JavaScript-3rd edition
private	, JavaScript-3rd edition
protected, JavaScript-3rd edition
public	, JavaScript-3rd edition
short	, JavaScript-3rd edition
static	, JavaScript-3rd edition
super, JavaScript-3rd edition
synchronized	, JavaScript-3rd edition
throws	, JavaScript-3rd edition
transient	, JavaScript-3rd edition
volatile, JavaScript-3rd edition
null	, JavaScript-3rd edition
true	, JavaScript-3rd edition
false	, JavaScript-3rd edition





JavaScript (5th edition) (45 keywords)

break	, JavaScript-5th edition
case	, JavaScript-5th edition
catch	, JavaScript-5th edition
continue, JavaScript-5th edition
debugger	, JavaScript-5th edition
default	, JavaScript-5th edition
delete	, JavaScript-5th edition
do, JavaScript-5th edition
else	, JavaScript-5th edition
finally	, JavaScript-5th edition
for	, JavaScript-5th edition
function, JavaScript-5th edition
if	, JavaScript-5th edition
in	, JavaScript-5th edition
instanceof	, JavaScript-5th edition
new, JavaScript-5th edition
return	, JavaScript-5th edition
switch	, JavaScript-5th edition
this	, JavaScript-5th edition
throw, JavaScript-5th edition
try	, JavaScript-5th edition
typeof	, JavaScript-5th edition
var	, JavaScript-5th edition
